"Country","cases","deads","mortality","deadsPER100k","casesPER100k","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","doctors_density","nursing_density"
"Rwanda",4905,32,0.7,0.26,37.87,34.3314200639725,6.57159835100174,6.24799951910973,57,17,1874,2255,-381,-4.3,0.382,0.536,2.468e+10,30,"30","18",0.14,1.1229
"San Marino",741,42,5.7,124.32,2183.84,81.6463530063629,7.36408308148384,17.3339992761612,NA,2745,668,713,-45,-2.9,NA,NA,2.064e+09,17,"50","0",NA,NA
"Saudi Arabia",339615,5068,1.5,15.04,975.52,64.0870332717896,5.23025318980217,16.8597862124443,74,778,260000,294933,-34933,NA,NA,NA,1.775e+12,15,"2.5","15",2.54,5.4627
"Senegal",15292,315,2.1,1.99,91.33,20.978632569313,4.13406379520893,52.3998200893402,45,12,3863,4474,-611,-3.8,0.347,0.514,5.48e+10,25,"50","20",0.07,0.3127
"Serbia",34854,765,2.2,10.96,398.91,56.7148864269257,8.43395814299583,41.7523622512817,65,300,16250,16930,-680,-1.7,0.71,0.799,1.057e+11,15,"25","20",NA,NA
"Sierra Leone",2306,72,3.1,0.94,28.91,13.7371480464935,13.4209275245667,50.4125535488129,39,9,684,963,-279,-7.1,0.282,0.438,1.155e+10,NA,NA,NA,NA,NA
"Singapore",57880,28,0,0.5,989.34,48.2043623924255,4.44038286805153,32.1252405643463,86,1262,53400,56490,-3090,-1,0.81,0.935,5.281e+11,17,"22","7",2.29,6.2432
"Slovakia",20355,61,0.3,1.12,372.83,79.1036665439606,6.74253478646278,18.7131851911545,77,1089,37090,38520,-1430,-1.5,0.804,0.857,1.797e+11,22,"25","20",3.42,0.3187
"Slovenia",8832,169,1.9,8.17,424.83,71.8181788921356,8.18701758980751,12.3281687498093,79,1530,20200,20970,-770,-1.6,0.858,0.902,7.123e+10,19,"50","22",3.09,9.9745
"Somalia",3864,99,2.6,0.66,24.31,NA,NA,NA,25,3,260.1,260.1,0,NA,NA,NA,2.044e+10,NA,NA,NA,NA,NA
"South Africa",693359,17863,2.6,30.92,1169.07,53.6510050296783,8.11311826109886,7.7669233083725,69,268,92380,103300,-10920,-3.2,0.463,0.705,7.672e+11,28,"45","15",0.91,1.3078
"South Korea",24805,434,1.7,0.84,48.38,57.377427816391,7.60386362671852,33.6690425872803,86,1310,351600,338000,13600,0.6,0.777,0.906,2.035e+12,24.2,"42","10",2.36,7.1203
